investigation_id,complaint_id,assigned_to,investigation_status,root_cause,reportable,open_date,close_date
INV0059,CMP0059,EMP108,In Progress,Manufacturing,No,2026-07-24,
INV0060,CMP0060,EMP108,Open,User Error,No,2026-07-17,
INV0061,CMP0061,EMP104,Open,Design Issue,Yes,2026-07-03,
INV0062,CMP0062,EMP110,Open,Shipping Damage,No,2026-07-06,
INV0063,CMP0063,EMP108,Open,User Error,No,2026-05-29,
INV0064,CMP0064,EMP109,Open,Design Issue,No,2026-07-09,
INV0065,CMP0065,EMP106,Open,User Error,No,2026-02-05,
INV0066,CMP0066,EMP104,Open,Unknown,No,2026-06-21,
INV0067,CMP0067,EMP102,In Progress,Shipping Damage,Yes,2026-03-17,
INV0068,CMP0068,EMP101,In Progress,User Error,No,2026-06-14,
INV0069,CMP0069,EMP103,Closed,Shipping Damage,No,2026-05-15,2026-05-26
INV0070,CMP0070,EMP109,In Progress,Unknown,Yes,2026-07-21,
INV0071,CMP0071,EMP108,Open,Shipping Damage,No,2026-03-19,
INV0072,CMP0072,EMP105,Closed,Unknown,No,2026-05-04,2026-05-17
INV0073,CMP0073,EMP110,In Progress,Manufacturing,Yes,2026-07-07,
INV0074,CMP0074,EMP110,In Progress,Design Issue,No,2026-06-16,
INV0075,CMP0075,EMP104,Closed,Unknown,Yes,2026-04-07,2026-05-01
INV0076,CMP0076,EMP106,Closed,User Error,Yes,2026-06-19,2026-07-09
INV0077,CMP0077,EMP103,In Progress,Shipping Damage,No,2026-01-25,
INV0078,CMP0078,EMP110,Open,Shipping Damage,No,2026-05-27,
INV0079,CMP0079,EMP110,Closed,Design Issue,No,2026-07-17,2026-08-07
INV0080,CMP0080,EMP107,Closed,Design Issue,Yes,2026-02-23,2026-03-14
INV0081,CMP0081,EMP104,Closed,Design Issue,No,2026-07-29,2026-08-06
INV0082,CMP0082,EMP102,Open,User Error,Yes,2026-02-02,
INV0083,CMP0083,EMP106,Closed,Unknown,No,2026-01-15,2026-02-06
INV0084,CMP0084,EMP108,In Progress,User Error,Yes,2026-07-02,
INV0085,CMP0085,EMP101,Open,Manufacturing,Yes,2026-07-23,
INV0086,CMP0086,EMP107,Open,Design Issue,Yes,2026-03-01,
INV0087,CMP0087,EMP109,In Progress,User Error,No,2026-04-27,
INV0088,CMP0088,EMP105,Open,User Error,Yes,2026-02-25,
INV0089,CMP0089,EMP104,In Progress,Design Issue,Yes,2026-01-12,
INV0090,CMP0090,EMP106,In Progress,User Error,Yes,2026-03-03,
INV0091,CMP0091,EMP103,Closed,Design Issue,Yes,2026-05-05,2026-05-24
INV0092,CMP0092,EMP107,Open,Manufacturing,Yes,2026-02-24,
INV0093,CMP0093,EMP103,Open,Unknown,Yes,2026-03-27,
INV0094,CMP0094,EMP101,Open,User Error,No,2026-03-13,
INV0095,CMP0095,EMP106,In Progress,Unknown,No,2026-03-02,
INV0096,CMP0096,EMP108,Closed,Design Issue,Yes,2026-01-27,2026-02-19
INV0097,CMP0097,EMP102,Open,Shipping Damage,No,2026-03-29,
INV0098,CMP0098,EMP103,Open,Shipping Damage,No,2026-01-02,
INV0099,CMP0099,EMP104,Closed,Shipping Damage,No,2026-05-03,2026-05-16
INV0100,CMP0100,EMP102,In Progress,Manufacturing,No,2026-06-07,
INV0101,CMP0101,EMP109,Closed,Manufacturing,Yes,2026-05-18,2026-06-07
INV0102,CMP0102,EMP110,In Progress,Shipping Damage,No,2026-01-15,
INV0103,CMP0103,EMP102,Open,Manufacturing,No,2026-07-17,
INV0104,CMP0104,EMP105,Open,Design Issue,No,2026-06-24,
INV0105,CMP0105,EMP108,In Progress,Manufacturing,Yes,2026-04-08,
INV0106,CMP0106,EMP106,Closed,Design Issue,No,2026-02-13,2026-03-03
INV0107,CMP0107,EMP103,In Progress,Unknown,No,2026-05-16,
INV0108,CMP0108,EMP103,In Progress,Shipping Damage,No,2026-02-20,
INV0109,CMP0109,EMP110,Closed,User Error,No,2026-05-07,2026-05-17
INV0110,CMP0110,EMP106,In Progress,Shipping Damage,Yes,2026-01-12,
INV0111,CMP0111,EMP106,In Progress,Design Issue,No,2026-05-18,
INV0112,CMP0112,EMP103,Open,Unknown,No,2026-07-30,
INV0113,CMP0113,EMP107,Closed,Unknown,No,2026-04-19,2026-05-12
INV0114,CMP0114,EMP109,Open,User Error,Yes,2026-04-11,
INV0115,CMP0115,EMP103,Closed,User Error,Yes,2026-02-09,2026-03-01
INV0116,CMP0116,EMP110,Open,Design Issue,Yes,2026-02-19,
INV0117,CMP0117,EMP102,Open,Design Issue,No,2026-04-11,
INV0118,CMP0118,EMP104,Open,Manufacturing,No,2026-01-22,
INV0119,CMP0119,EMP102,Closed,Shipping Damage,No,2026-06-23,2026-06-28
INV0120,CMP0120,EMP108,Open,Manufacturing,No,2026-07-19,
INV0121,CMP0121,EMP109,Closed,User Error,Yes,2026-06-30,2026-07-15
INV0122,CMP0122,EMP103,Open,Unknown,No,2026-06-06,
INV0123,CMP0123,EMP106,In Progress,Manufacturing,Yes,2026-01-31,
INV0124,CMP0124,EMP106,Closed,Shipping Damage,Yes,2026-07-05,2026-07-19
INV0125,CMP0125,EMP110,Closed,User Error,No,2026-05-16,2026-05-28
INV0126,CMP0126,EMP107,Open,Shipping Damage,No,2026-06-21,
INV0127,CMP0127,EMP102,In Progress,User Error,No,2026-06-27,
INV0128,CMP0128,EMP102,Closed,Unknown,No,2026-01-21,2026-01-31
INV0129,CMP0129,EMP107,Open,Shipping Damage,Yes,2026-01-07,
INV0130,CMP0130,EMP110,Open,Unknown,No,2026-07-22,
INV0131,CMP0131,EMP105,In Progress,User Error,No,2026-07-29,
INV0132,CMP0132,EMP104,In Progress,Shipping Damage,No,2026-05-05,
INV0133,CMP0133,EMP102,In Progress,User Error,No,2026-04-26,
INV0134,CMP0134,EMP104,Open,Unknown,Yes,2026-01-04,
INV0135,CMP0135,EMP105,In Progress,Unknown,No,2026-01-13,
INV0136,CMP0136,EMP108,Open,Unknown,Yes,2026-06-18,
INV0137,CMP0137,EMP110,In Progress,Manufacturing,Yes,2026-02-25,
INV0138,CMP0138,EMP107,Closed,Unknown,Yes,2026-05-30,2026-06-07
INV0139,CMP0139,EMP101,Closed,Shipping Damage,No,2026-01-25,2026-02-01
INV0140,CMP0140,EMP102,Closed,Shipping Damage,Yes,2026-03-20,2026-04-07
INV0141,CMP0141,EMP110,In Progress,Unknown,Yes,2026-02-12,
INV0142,CMP0142,EMP110,Closed,Unknown,No,2026-02-01,2026-02-25
INV0143,CMP0143,EMP105,Open,Manufacturing,No,2026-02-25,
INV0144,CMP0144,EMP105,Open,User Error,Yes,2026-03-02,
INV0145,CMP0145,EMP109,Closed,Shipping Damage,No,2026-07-30,2026-08-20
INV0146,CMP0146,EMP101,Closed,User Error,Yes,2026-05-15,2026-06-05
INV0147,CMP0147,EMP102,In Progress,User Error,Yes,2026-05-09,
INV0148,CMP0148,EMP110,In Progress,User Error,No,2026-03-28,
INV0149,CMP0149,EMP103,In Progress,Shipping Damage,Yes,2026-02-23,
INV0150,CMP0150,EMP102,In Progress,User Error,Yes,2026-05-28,
INV0151,CMP0151,EMP109,In Progress,Unknown,No,2026-03-14,
INV0152,CMP0152,EMP108,Closed,Shipping Damage,No,2026-02-17,2026-02-19
INV0153,CMP0153,EMP106,Open,User Error,No,2026-04-20,
INV0154,CMP0154,EMP101,In Progress,Manufacturing,No,2026-05-03,
INV0155,CMP0155,EMP107,Open,Design Issue,No,2026-01-27,
INV0156,CMP0156,EMP101,In Progress,Design Issue,Yes,2026-06-25,
INV0157,CMP0157,EMP110,In Progress,User Error,No,2026-02-11,
INV0158,CMP0158,EMP110,Closed,Unknown,No,2026-03-04,2026-03-19
INV0159,CMP0159,EMP103,In Progress,Unknown,Yes,2026-01-11,
INV0160,CMP0160,EMP101,In Progress,Manufacturing,No,2026-02-08,
INV0161,CMP0161,EMP102,Open,Design Issue,No,2026-04-05,
INV0162,CMP0162,EMP109,Open,User Error,Yes,2026-07-12,
INV0163,CMP0163,EMP101,Open,Design Issue,Yes,2026-02-08,
INV0164,CMP0164,EMP102,Open,Design Issue,No,2026-07-12,
INV0165,CMP0165,EMP110,In Progress,Unknown,Yes,2026-01-13,
INV0166,CMP0166,EMP105,Open,User Error,Yes,2026-02-02,
INV0167,CMP0167,EMP103,Open,Shipping Damage,No,2026-07-27,
INV0168,CMP0168,EMP110,In Progress,Design Issue,No,2026-04-26,
INV0169,CMP0169,EMP110,In Progress,Shipping Damage,Yes,2026-02-18,
INV0170,CMP0170,EMP109,In Progress,User Error,No,2026-07-02,
INV0171,CMP0171,EMP102,In Progress,Design Issue,No,2026-06-26,
INV0172,CMP0172,EMP106,In Progress,Manufacturing,No,2026-04-28,
INV0173,CMP0173,EMP101,Open,User Error,No,2026-01-10,
INV0174,CMP0174,EMP107,In Progress,Unknown,Yes,2026-03-14,
INV0175,CMP0175,EMP101,Closed,Manufacturing,Yes,2026-02-26,2026-03-09
INV0176,CMP0176,EMP105,Closed,Design Issue,No,2026-07-06,2026-07-24
INV0177,CMP0177,EMP105,In Progress,Shipping Damage,Yes,2026-07-25,
INV0178,CMP0178,EMP109,In Progress,Shipping Damage,No,2026-06-25,
INV0179,CMP0179,EMP102,Closed,Shipping Damage,Yes,2026-05-31,2026-06-23
INV0180,CMP0180,EMP102,Closed,User Error,Yes,2026-05-15,2026-05-26
